county,max_temp,anomaly,rank,mean,month,state,total_workers_h2a
Roosevelt,84.9,2.8,99,82.1,August,Montana,48
Rosebud,86.4,1.8,86,84.6,August,Montana,17
Sanders,80.3,2.8,97,77.5,August,Montana,13
Sheridan,83.5,3.1,102,80.4,August,Montana,63
Stillwater,79.6,0.1,68,79.5,August,Montana,28
Sweet Grass,77.4,0.1,61,77.3,August,Montana,22
Teton,79,2.1,87,76.9,August,Montana,26
Toole,81.8,2.3,89,79.5,August,Montana,14
Treasure,86.5,1.4,83,85.1,August,Montana,9
Valley,85,3.5,103,81.5,August,Montana,54
Wheatland,78.9,0.1,64,78.8,August,Montana,12
Wibaux,83.3,-0.1,63,83.4,August,Montana,13
Yellowstone,85.6,1.5,84,84.1,August,Montana,69
Golden Valley,83,0,67,83,August,Montana,17
Richland,81.6,0.1,72,81.5,August,Montana,106
Sheridan,78.2,-1.9,43,80.1,August,Montana,63
Custer,82.8,0.1,65,82.7,August,Montana,54
Lake,83.7,1.2,97,82.5,August,Montana,27
Lincoln,84.3,0.9,83,83.4,August,Montana,1
Carbon,79.7,0.7,72,79,August,Montana,1
Garfield,82.2,1.4,91,80.8,August,Montana,8
Big Horn,80.7,1.6,85,79.1,August,Montana,49
Carbon,78.6,1.2,88,77.4,August,Montana,1
Fremont,76.9,-0.6,47,77.5,August,Montana,4
Lincoln,74.8,-0.2,54,75,August,Montana,1
Park,73.1,0.4,67,72.7,August,Montana,13
Sheridan,79.6,0.2,65,79.4,August,Montana,63
Teton,68.4,-1.6,32,70,August,Montana,26
Adams,87.7,-0.7,49,88.4,July,North Dakota,31
Logan,86.9,-2,32,88.9,July,North Dakota,43
Richland,84.8,0.5,69,84.3,July,North Dakota,89
Sheridan,82.8,1.1,78,81.7,July,North Dakota,23
Adams,82.6,-1.4,44,84,July,North Dakota,31
Barnes,79.7,-2.5,31,82.2,July,North Dakota,41
Benson,78,-3.5,20,81.5,July,North Dakota,48
Billings,83,-0.6,50,83.6,July,North Dakota,2
Bottineau,79.5,-1.4,45,80.9,July,North Dakota,84
Bowman,84,-0.1,59,84.1,July,North Dakota,22
Burke,79.7,-0.5,57,80.2,July,North Dakota,16
Burleigh,79,-3.7,18,82.7,July,North Dakota,83
Cass,81.2,-1.6,40,82.8,July,North Dakota,73
Cavalier,77.4,-1.4,43,78.8,July,North Dakota,133
Dickey,79.6,-3.5,19,83.1,July,North Dakota,97
Divide,81.3,0.7,73,80.6,July,North Dakota,34
Dunn,82.7,-0.3,56,83,July,North Dakota,41
Eddy,77.7,-4,15,81.7,July,North Dakota,27
Emmons,80.2,-4,17,84.2,July,North Dakota,73
Foster,77.9,-4.1,15,82,July,North Dakota,79
Grand Forks,79.6,-2.3,34,81.9,July,North Dakota,170
