national_risk_index_id,state,county_name,population_(2020),building_value_($),agriculture_value_($),area_(sq_mi),national_risk_index_-_value_-_composite,national_risk_index_-_score_-_composite,national_risk_index_-_rating_-_composite,national_risk_index_-_state_percentile_-_composite,expected_annual_loss_-_score_-_composite,expected_annual_loss_-_rating_-_composite,expected_annual_loss_-_state_percentile_-_composite,expected_annual_loss_-_total_-_composite,expected_annual_loss_-_building_value_-_composite,wildfire_-_number_of_events,wildfire_-_annualized_frequency,wildfire_-_exposure_-_impacted_area_(sq_mi),wildfire_-_exposure_-_building_value,wildfire_-_exposure_-_population,wildfire_-_exposure_-_population_equivalence,wildfire_-_exposure_-_agriculture_value,wildfire_-_exposure_-_total,wildfire_-_historic_loss_ratio_-_buildings,wildfire_-_historic_loss_ratio_-_population,wildfire_-_historic_loss_ratio_-_agriculture,wildfire_-_historic_loss_ratio_-_total_rating,wildfire_-_expected_annual_loss_-_building_value,wildfire_-_expected_annual_loss_-_population,wildfire_-_expected_annual_loss_-_population_equivalence,wildfire_-_expected_annual_loss_-_agriculture_value,wildfire_-_expected_annual_loss_-_total,wildfire_-_expected_annual_loss_score,wildfire_-_expected_annual_loss_rating,wildfire_-_expected_annual_loss_rate_-_building,wildfire_-_expected_annual_loss_rate_-_population,wildfire_-_expected_annual_loss_rate_-_agriculture,wildfire_-_expected_annual_loss_rate_-_national_percentile,wildfire_-_hazard_type_risk_index_value,wildfire_-_hazard_type_risk_index_score,wildfire_-_hazard_type_risk_index_rating,total_workers
C08087,Colorado,Morgan,29096,6554146331,641811245,1306.930789,13372381,72.35125676,Relatively Low,84.375,66.20241411,Relatively Low,79.6875,9476146.177,5606555.732,NA,1.70508e-4,29.63285731,564311538.5,2063.917226,23941439819,64875047.95,24570626405,0.4,6.77e-5,0.036468584,Very Low,11055.88884,6.74e-6,78.19237327,772.9742728,11907.05549,30.89405027,Very Low,1.69e-6,2.32e-10,1.2e-6,38.7846007,14274.22284,32.51670379,Very Low,10
C08089,Colorado,Otero,18678,3385626292,139408191,1282.521574,2382916.755,17.27648743,Very Low,40.625,13.49427422,Very Low,32.8125,1712157.322,456153.1068,NA,6.53718e-4,12.3199213,334854700.9,1628.836684,18894505533,38129962.89,19267490197,0.4,1.26e-5,0.003260597,Relatively Moderate,116158.9497,1.58e-5,183.8272887,81.43621282,116424.2132,66.36971047,Relatively Low,3.43e-5,8.48e-10,5.84e-7,69.86955138,163623.958,68.6286987,Relatively Low,121
C08091,Colorado,Ouray,4859,1492164743,4821680,547.6843769,954988.6678,4.77251034,Very Low,12.5,7.428040854,Very Low,21.875,1097692.795,442107.9562,NA,9.61728e-4,5.28084514,604084074.1,2097.210639,24327643417,997634.8952,24932725126,0.4,5.18e-6,1.61433e-4,Relatively Moderate,236238.0173,1.1e-5,127.4666969,0.141068053,236365.625,74.03754375,Relatively Low,1.58319e-4,2.26e-9,2.93e-8,86.06426981,192633.8361,70.44225262,Relatively Low,6
C08093,Colorado,Park,17300,3962724908,5858841,2232.627124,3668856.538,30.63951639,Very Low,59.375,45.37294955,Very Low,68.75,4786109.081,3740823.67,NA,0.004356256,6.977114363,1645810824,8685.643202,101000000000,3301688.228,102000000000,0.4,9.3e-6,3.16e-5,Relatively Low,3048944.309,4.2078e-4,4881.047369,0.377658479,3053825.734,94.43207127,Relatively Moderate,7.69406e-4,2.43e-8,6.45e-8,97.45466115,2330834.306,92.10944957,Relatively Moderate,9
C08095,Colorado,Phillips,4523,2348169517,199780855,694.9904458,3374214.168,27.80782692,Very Low,56.25,26.77189725,Very Low,54.6875,2789579.423,1392326.526,NA,1.6e-5,54.64793605,267190752.5,275.3439209,3193989482,20638222.08,3481818457,0.4,9.22354e-4,0.036468584,Very High,1847.997226,3.13e-6,36.34687729,15.68266798,1900.026771,5.440661788,Very Low,7.87e-7,6.93e-10,7.85e-8,14.4766147,2329.729425,5.536111995,Very Low,20
C08097,Colorado,Pitkin,17292,6757242524,3339926,983.0252176,5564842.094,45.91154948,Very Low,70.3125,49.45837202,Very Low,73.4375,5311715.763,2181676.342,NA,4.3131e-4,3.478544218,1064646313,2541.769477,29484525929,818222.0629,30549990464,0.4,5.18e-6,3.16e-5,Relatively Moderate,136275.3962,4.31e-6,50.02474505,0.013672152,136325.4346,68.43779828,Relatively Low,2.02e-5,2.49e-10,4.09e-9,63.88800509,140025.2246,66.8469615,Relatively Low,5
C08099,Colorado,Prowers,11979,2332563241,355587246,1660.922119,3844071.676,32.23035317,Very Low,64.0625,21.51036831,Very Low,50,2371619.382,1296803.031,NA,0.001087028,79.60225718,246654099.3,1085.152035,12587763605,59701569.2,12894119273,0.4,2.18126e-4,0.003260597,Relatively Low,105156.9503,2.46996e-4,2865.155864,296.792425,108318.8986,65.19249125,Relatively Low,4.51e-5,2.06e-8,8.35e-7,73.08304168,185286.798,70.02863506,Relatively Low,11
C08101,Colorado,Pueblo,168034,24996485111,59694760,2421.971793,19867372.69,79.79637289,Relatively Low,85.9375,78.14917982,Relatively Low,85.9375,16422305.06,13368005.87,NA,0.001010736,18.98197801,3379317868,20064.57263,233000000000,18590398.16,236000000000,0.4,1.26e-5,0.013579329,Relatively Low,1291364.882,2.25471e-4,2615.465379,296.1133633,1294276.46,88.89595927,Relatively Moderate,5.17e-5,1.34e-9,4.96e-6,74.61024499,1257066.075,87.24148902,Relatively Moderate,256
C08103,Colorado,Rio Blanco,6520,2390961512,21502317,3255.385819,2264642.58,16.29016863,Very Low,37.5,13.77282575,Very Low,34.375,1742889.803,1342333.647,NA,0.002997566,17.49835707,1019519373,1673.961917,19417958242,6196393.466,20443674008,0.4,1.29e-5,3.38e-6,Relatively High,1204713.757,5.47e-5,634.3161194,0.062514287,1205348.135,88.19599109,Relatively Moderate,5.03862e-4,8.39e-9,2.91e-9,95.70474069,1605504.074,89.40502704,Relatively Moderate,3
C08105,Colorado,Rio Grande,11498,4081830835,113489098,921.546747,3146749.104,25.23067133,Very Low,50,18.26060043,Very Low,40.625,2130847.95,1373707.771,NA,1.0017e-4,27.63206836,1060484367,2559.527932,29690524009,17628138.29,30768636515,0.4,2.57e-6,1.61433e-4,Relatively High,59171.63375,9.01e-7,10.45109186,0.204043628,59182.28888,57.07922367,Very Low,1.45e-5,7.84e-11,1.8e-9,60.70633153,69960.34533,58.12917595,Very Low,14
