Year,StateAbbr,state,county,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,MeasureId,Short_Question_Text,Geolocation
2022,CO,Colorado,Adams,Prevention,Visits to doctor for routine checkup within the past year among adults,Crude prevalence,64.2,60.7,67.7,527575,398077,8001,CHECKUP,Annual Checkup,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Vision disability among adults,Age-adjusted prevalence,5.7,5.2,6.2,527575,398077,8001,VISION,Vision Disability,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Frequent mental distress among adults,Crude prevalence,18.7,17,20.5,527575,398077,8001,MHLTH,Frequent Mental Distress,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Prevention,Current lack of health insurance among adults aged 18-64 years,Age-adjusted prevalence,16.1,14.5,17.8,527575,398077,8001,ACCESS2,Health Insurance,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Diagnosed diabetes among adults,Age-adjusted prevalence,9.8,8.6,11.1,527575,398077,8001,DIABETES,Diabetes,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Obesity among adults,Crude prevalence,34.2,30.1,38.6,527575,398077,8001,OBESITY,Obesity,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Current asthma among adults,Age-adjusted prevalence,11.2,10,12.6,527575,398077,8001,CASTHMA,Current Asthma,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Status,Fair or poor self-rated health status among adults,Age-adjusted prevalence,19.1,17.2,21.1,527575,398077,8001,GHLTH,General Health,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Risk Behaviors,No leisure-time physical activity among adults,Age-adjusted prevalence,23.3,20.4,26.4,527575,398077,8001,LPA,Physical Inactivity,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Disability,Self-care disability among adults,Age-adjusted prevalence,3.5,3.2,3.8,527575,398077,8001,SELFCARE,Self-care Disability,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Health Outcomes,High cholesterol among adults who have ever been screened,Crude prevalence,26.4,23.9,29.1,527575,398077,8001,HIGHCHOL,High Cholesterol,POINT (-104.338130186949 39.8735915076236)
2021,CO,Colorado,Adams,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,Crude prevalence,67.6,64.3,71,527575,398077,8001,BPMED,High Blood Pressure Medication,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Adams,Health Outcomes,Chronic obstructive pulmonary disease among adults,Age-adjusted prevalence,5.6,5,6.2,527575,398077,8001,COPD,COPD,POINT (-104.338130186949 39.8735915076236)
2022,CO,Colorado,Alamosa,Health Outcomes,Stroke among adults,Crude prevalence,3.2,3,3.5,16592,12572,8003,STROKE,Stroke,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Cancer (non-skin) or melanoma among adults,Age-adjusted prevalence,6.5,5.8,7.1,16592,12572,8003,CANCER,Cancer (non-skin) or Melanoma,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Prevention,Visited dentist or dental clinic in the past year among adults,Crude prevalence,54.8,50.9,58.7,16592,12572,8003,DENTAL,Dental Visit,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Current asthma among adults,Age-adjusted prevalence,11.7,10.3,13.1,16592,12572,8003,CASTHMA,Current Asthma,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Status,Frequent mental distress among adults,Crude prevalence,19.8,18,21.8,16592,12572,8003,MHLTH,Frequent Mental Distress,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Disability,Vision disability among adults,Age-adjusted prevalence,7.1,6.5,7.7,16592,12572,8003,VISION,Vision Disability,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Outcomes,Diagnosed diabetes among adults,Age-adjusted prevalence,10.6,9.2,12.2,16592,12572,8003,DIABETES,Diabetes,POINT (-105.78848300659 37.5728638541496)
2022,CO,Colorado,Alamosa,Health Status,Fair or poor self-rated health status among adults,Crude prevalence,20.4,18.2,22.7,16592,12572,8003,GHLTH,General Health,POINT (-105.78848300659 37.5728638541496)
